S.No.,Movie Name,Year,Crew,IMDb
139, All About Eve,-1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.160943224
140, Casino,-1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.159805619
141, Pan's Labyrinth,-2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.155320654
142, The Wolf of Wall Street,-2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.152197546
143, El secreto de sus ojos,-2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.151000034
144, Tonari no Totoro,-1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.150100837
145," Lock, Stock and Two Smoking Barrels",-1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.149635349
146, Raging Bull,-1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.149313868
147, There Will Be Blood,-2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.14143447
148, The Treasure of the Sierra Madre,-1948,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.14061022
149, Judgment at Nuremberg,-1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.139160184
150, Babam ve Oglum,-2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.134139667
151," Three Billboards Outside Ebbing, Missouri",-2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.133164533
152, Dial M for Murder,-1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.131840571
153, The Gold Rush,-1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.131319524
154, Chinatown,-1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.130630938
155, V for Vendetta,-2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.125415329
156, Det sjunde inseglet,-1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.124480303
157, No Country for Old Men,-2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.12439793
158, Shutter Island,-2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.122594009
159, Inside Out,-2015,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.122121588
160, Warrior,-2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.120520843
161, The Elephant Man,-1980,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.117126812
162, Trainspotting,-1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.116610879
163, The Sixth Sense,-1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.114836462
164, The Thing,-1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.113913919
165, Jurassic Park,-1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.108833071
166, Gone with the Wind,-1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.108352017
167, Smultronstället,-1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.106725145
168, Blade Runner,-1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.105376876
169, Room,-2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.105290049
170, Finding Nemo,-2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.103982022
171, The Bridge on the River Kwai,-1957,"David Lean (dir.), William Holden, Alec Guinness",8.103026951
172, The Truman Show,-1998,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.101732042
173, Stalker,-1979,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",8.100871176
174, Kill Bill: Vol. 1,-2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.100086041
175, Fargo,-1996,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.098942367
176, The Third Man,-1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.098380759
177, On the Waterfront,-1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.098236046
